dong,total_sales,total_shops,avg_sales_per_shop
자양4동,30845555180.0,5472.0,5636980.1133
전농1동,48068307734.0,8610.0,5582846.4267
성내2동,30774474911.0,5532.0,5562992.5725
면목2동,43177740988.0,7770.0,5556980.8221
독산4동,23263702677.0,4188.0,5554847.8216
월계2동,1839676023.0,336.0,5475226.2589
시흥4동,10701848052.0,1956.0,5471292.4601
반포1동,14556806466.0,2670.0,5451987.4404
용산2가동,21955807553.0,4044.0,5429230.3544
화곡3동,13702508900.0,2538.0,5398939.6769
신길5동,4366885671.0,810.0,5391216.8778
대림2동,34227526876.0,6390.0,5356420.4814
신사1동,9084689541.0,1698.0,5350229.4117
월곡1동,12265471046.0,2304.0,5323555.1415
중곡1동,17728291898.0,3366.0,5266872.2216
자양1동,24995281124.0,4746.0,5266599.4783
정릉1동,7551603742.0,1440.0,5244169.2653
망원2동,26002818258.0,4974.0,5227747.9409
송천동,20331891747.0,3912.0,5197313.8413
전농2동,4739058318.0,912.0,5196335.875
망원1동,67794209926.0,13140.0,5159376.7067
아현동,7989010945.0,1578.0,5062744.5786
잠실4동,1205848156.0,240.0,5024367.3167
남가좌2동,22576637162.0,4494.0,5023728.7855
부암동,7885007845.0,1584.0,4977908.9931
방학1동,40331282317.0,8130.0,4960797.333
원효로2동,3865972484.0,780.0,4956374.9795
중곡4동,14759738703.0,3012.0,4900311.6544
상봉1동,8847533024.0,1806.0,4898966.237
수색동,2189585977.0,450.0,4865746.6156
신사2동,4223700197.0,870.0,4854827.8126
홍은1동,7382597477.0,1524.0,4844224.0663
신길3동,4157564293.0,864.0,4811995.7095
구로4동,41825751727.0,8694.0,4810875.515
숭인1동,1208424818.0,252.0,4795336.5794
도림동,9488159062.0,1986.0,4777522.1863
길음2동,9498950263.0,1992.0,4768549.3288
신월7동,10999912326.0,2334.0,4712901.5964
성수1가1동,20902044543.0,4440.0,4707667.6899
신월1동,26907380856.0,5778.0,4656867.5763
하계1동,3635697977.0,792.0,4590527.7487
면목7동,18338301512.0,3996.0,4589164.5425
창2동,9022801937.0,1974.0,4570821.6499
미성동,13624483132.0,2988.0,4559733.3106
창3동,16257932239.0,3582.0,4538786.2197
이화동,8379129392.0,1854.0,4519487.2665
중곡3동,14852553272.0,3300.0,4500773.7188
도봉2동,5876078317.0,1314.0,4471901.3067
쌍문1동,7647356479.0,1716.0,4456501.4446
송정동,5716965991.0,1284.0,4452465.7251
신월3동,7605832029.0,1710.0,4447854.9877
사당5동,1168372295.0,270.0,4327304.7963
고척2동,26255573871.0,6084.0,4315511.8131
서림동,13510591232.0,3192.0,4232641.3634
번1동,13859643814.0,3366.0,4117541.24
금호1가동,3106464568.0,762.0,4076725.1549
면목4동,3784511023.0,930.0,4069366.6914
노량진2동,8194534630.0,2016.0,4064749.3204
평창동,4923224273.0,1230.0,4002621.3602
길음1동,3466413360.0,888.0,3903618.6486
묵2동,13256283179.0,3462.0,3829082.3741
역촌동,15400753224.0,4062.0,3791421.2762
신내2동,975242364.0,258.0,3780009.1628
마천1동,12149704596.0,3234.0,3756865.9852
신월2동,4521990880.0,1212.0,3731015.5776
청량리동,2714263849.0,762.0,3562026.0486
증산동,7884747404.0,2220.0,3551688.0198
신길4동,1781418496.0,504.0,3534560.5079
목4동,10728440707.0,3048.0,3519829.6283
상계5동,17829125228.0,5118.0,3483611.807
화곡2동,6170311020.0,1788.0,3450956.9463
중화1동,4659657308.0,1410.0,3304721.495
상계3·4동,5109862614.0,1620.0,3154236.1815
보라매동,11388607811.0,3750.0,3036962.0829
가리봉동,17561310653.0,5796.0,3029901.769
삼성동,2055466481.0,744.0,2762723.7648
휘경2동,5360524218.0,1962.0,2732173.4037
천호3동,6202922093.0,2304.0,2692240.4918
구의2동,1612389480.0,600.0,2687315.8
구산동,10052285103.0,3768.0,2667803.9021
난향동,557176773.0,222.0,2509805.2838
상계10동,213071423.0,96.0,2219493.9896
이촌2동,748029295.0,354.0,2113077.1045
반포본동,565587465.0,318.0,1778576.934
송파2동,491556711.0,288.0,1706794.1354
응봉동,154722558.0,108.0,1432616.2778
성현동,594017080.0,444.0,1337876.3063
청림동,89446050.0,72.0,1242306.25
북가좌1동,420171802.0,558.0,752996.0609
