commercial_area,total_sales,total_shops,avg_sales_per_shop
종로6가,23542601127.0,2760.0,8529927.9446
석촌역 7번,45905886871.0,5382.0,8529521.901
송정역,24404316105.0,2868.0,8509175.7688
갈현건영아파트,3317207750.0,390.0,8505660.8974
한성대입구역 5번,14747304898.0,1734.0,8504789.4452
창동골목시장,22117856152.0,2610.0,8474274.3877
서경대학교,16774466877.0,1980.0,8471952.9682
보라매공원,137487868919.0,16230.0,8471218.048
신정3동 골목시장,1828777436.0,216.0,8466562.2037
영등포유통상가,19987348433.0,2364.0,8454885.1239
성북초등학교앞,6795860903.0,804.0,8452563.3122
사가정역 1번,29344316631.0,3474.0,8446838.4085
양천향교역 2번,6413119447.0,762.0,8416167.2533
서대문소방서,5552205453.0,660.0,8412432.5045
중부경찰서(영화인의거리),45552360533.0,5424.0,8398296.5584
베르사이유1아파트,2516112143.0,300.0,8387040.4767
태릉시장 특화거리,19099842688.0,2280.0,8377123.986
우장산롯데캐슬아파트앞,7180149149.0,858.0,8368472.2016
신정2동주민센터,52967501588.0,6330.0,8367693.7738
보라매역 4번,4702042704.0,564.0,8336955.1489
한강로동땡땡거리(은행나무길),35410737811.0,4254.0,8324103.8578
선정릉역,136151929930.0,16416.0,8293855.3807
먹골역 1번,25889037553.0,3126.0,8281841.8276
장안근린공원,37552403380.0,4536.0,8278748.5406
홍제역 4번,6799694302.0,822.0,8272134.1873
독산119안전센터,20591801684.0,2490.0,8269799.8731
홍대입구역 3번,34729020475.0,4200.0,8268814.3988
가산초등학교(세일중학교),21327658140.0,2580.0,8266534.1628
관악구 중앙길,59362200687.0,7182.0,8265413.6295
신대방역 2번,41753279043.0,5052.0,8264702.8985
개봉동 현대아파트,74604531641.0,9030.0,8261852.8949
내방역 5번,2577407140.0,312.0,8260920.3205
메가박스 상봉,36002495478.0,4362.0,8253667.0055
광장시장(광장전통시장),95496813534.0,11580.0,8246702.3777
상도1동주민센터앞,3265075888.0,396.0,8245141.1313
이화달팽이길,18671395517.0,2268.0,8232537.7059
신내1동주민센터,58956199736.0,7170.0,8222621.9994
마포역 4번,4190047394.0,510.0,8215779.2039
동대문역사문화공원역,388893602714.0,47412.0,8202429.8219
돌곶이역 8번,19466447299.0,2376.0,8192949.1999
왕십리역(왕십리),84541288620.0,10320.0,8191985.3314
방배아이파크아파트,22454496432.0,2742.0,8189094.2495
방천골목시장,7417346993.0,906.0,8186917.2108
외대앞역 1번,44970406979.0,5496.0,8182388.4605
성북구청,26894016563.0,3288.0,8179445.4267
홍대부중,5594435992.0,684.0,8178999.9883
목동사거리,69515275180.0,8508.0,8170577.7127
대흥역 2번,36129218974.0,4428.0,8159263.5443
도봉우체국,6752215550.0,828.0,8154849.6981
아현시장,24631183859.0,3024.0,8145232.7576
등촌역,99710107259.0,12258.0,8134288.4042
종암초등학교,6236175920.0,768.0,8120020.7292
한울중학교,28598134310.0,3522.0,8119856.4196
강서구청,113242956301.0,13986.0,8096879.4724
관악구신사동주민센터,56141451449.0,6936.0,8094211.5699
KT&G 북부지사,1893514187.0,234.0,8091940.9701
동일여자고등학교,14009541455.0,1734.0,8079320.3316
영등포구청역,131737522344.0,16308.0,8078091.8779
서울지방병무청,12209801670.0,1512.0,8075265.6548
고덕동성당,12381043173.0,1536.0,8060574.9824
장지동주민센터(한림연예예술고교),14928621340.0,1854.0,8052115.0701
한남IC,6618413105.0,822.0,8051597.4513
사당역 10번,62551946131.0,7800.0,8019480.2732
석수역 1번 출입구,7358048680.0,918.0,8015303.573
역촌역 3번,11276881655.0,1410.0,7997788.4078
명일역 1번,6757778244.0,846.0,7987917.5461
마포구청역 4번,9430726234.0,1182.0,7978617.7953
길동주민센터(강동도서관),70209656421.0,8802.0,7976557.1939
서서울 골목형상점가,12959140201.0,1626.0,7969950.9231
불광역 3번,4299559542.0,540.0,7962147.3
번동주공2단지,4572711417.0,576.0,7938735.099
영등포시장기계공구상가,7238484522.0,912.0,7936934.7829
등촌3동주민센터,81287165107.0,10260.0,7922725.644
은천초등학교(은천교앞),24994065483.0,3162.0,7904511.538
서울세관,55889036947.0,7092.0,7880574.8656
서서울호수공원,6095954391.0,774.0,7875910.0659
한강진역 3번,36318679086.0,4626.0,7850989.8586
신영시장,39749500474.0,5082.0,7821625.4376
도봉구보건소,21459214862.0,2748.0,7809030.1536
신대방역 3번,1451117290.0,186.0,7801705.8602
NH농협은행 상도동지점,16204654048.0,2088.0,7760849.6398
KB국민은행 서강지점,4609222846.0,594.0,7759634.4209
길음역 8번,17913759809.0,2310.0,7754874.3762
회기역,39518856923.0,5100.0,7748795.4751
내방역 8번,1160564804.0,150.0,7737098.6933
난곡초등학교(난곡동벽화마을),7282430228.0,942.0,7730817.6518
둔촌2동주민센터,14170883369.0,1836.0,7718346.0615
광흥창역 1번,6428411413.0,834.0,7707927.3537
신월1동주민센터,18845799878.0,2454.0,7679625.0522
강북구청,14417586903.0,1878.0,7677096.3275
북한산보국문역 2번,5201015973.0,678.0,7671115.0044
상도초등학교,5697563156.0,744.0,7658014.9946
