commercial_area,time,total_sales
강남시장(강남구 강남시장),14-17,442638884.0
강남시장(강남구 강남시장),17-21,2723077304.0
강남시장(강남구 강남시장),21-24,2380152878.0
강남시장(동작구 강남시장),00-06,2467627.0
강남시장(동작구 강남시장),06-11,2514650.0
강남시장(동작구 강남시장),11-14,207348584.0
강남시장(동작구 강남시장),14-17,52403848.0
강남시장(동작구 강남시장),17-21,606856473.0
강남시장(동작구 강남시장),21-24,203642586.0
강남언주로,00-06,845431509.0
강남언주로,06-11,146724828.0
강남언주로,11-14,5952412398.0
강남언주로,14-17,786597889.0
강남언주로,17-21,7155350939.0
강남언주로,21-24,4206422480.0
강남역,00-06,36810838203.0
강남역,06-11,18023809374.0
강남역,11-14,112538085778.0
강남역,14-17,48361588217.0
강남역,17-21,172074038697.0
강남역,21-24,118301596035.0
강남을지병원,00-06,4748089418.0
강남을지병원,06-11,2319375959.0
강남을지병원,11-14,15854552305.0
강남을지병원,14-17,5070915739.0
강남을지병원,17-21,18045087599.0
강남을지병원,21-24,13694067756.0
강동구립 천호도서관,00-06,175335262.0
강동구립 천호도서관,06-11,76711469.0
강동구립 천호도서관,11-14,548926858.0
강동구립 천호도서관,14-17,109472161.0
강동구립 천호도서관,17-21,725860886.0
강동구립 천호도서관,21-24,453796259.0
강동구립성내도서관,00-06,220615977.0
강동구립성내도서관,06-11,185758251.0
강동구립성내도서관,11-14,2054300318.0
강동구립성내도서관,14-17,688606539.0
강동구립성내도서관,17-21,2790759665.0
강동구립성내도서관,21-24,900527151.0
강동구청(강동구청역 2번),00-06,3019106.0
강동구청(강동구청역 2번),06-11,91962687.0
강동구청(강동구청역 2번),11-14,316674812.0
강동구청(강동구청역 2번),14-17,88670309.0
강동구청(강동구청역 2번),17-21,188805784.0
강동구청(강동구청역 2번),21-24,51797282.0
강동구청역,00-06,674862349.0
강동구청역,06-11,1470710672.0
강동구청역,11-14,14656744042.0
강동구청역,14-17,5001476608.0
강동구청역,17-21,15962164489.0
강동구청역,21-24,5607837195.0
강동성심병원,00-06,367999350.0
