commercial_area,lunch_sales,total_sales,total_shops,lunch_per_shop,total_per_shop,lunch_index
등촌역 4번,48544737.0,83037691.0,216.0,224744.15277777778,384433.7546296296,0.5846108726698579
회현역 1번,588581781.0,1007717578.0,162.0,3633220.8703703703,6220478.87654321,0.5840741432417487
경향신문사,7422208199.0,12827646213.0,390.0,19031303.074358974,32891400.546153847,0.578610298082439
양평역,3709283307.0,6429971258.0,462.0,8028751.7467532465,13917686.705627706,0.5768740104996594
남산골공원옆,742305846.0,1288207603.0,168.0,4418487.178571428,7667902.398809524,0.5762315361835354
충무초등학교,1698668965.0,2957759281.0,702.0,2419756.36039886,4213332.309116809,0.5743094023614019
영등포본동주민센터,196275704.0,342519994.0,72.0,2726051.4444444445,4757222.138888889,0.5730342970869023
한강성심병원,2796983155.0,4888706184.0,720.0,3884698.826388889,6789869.7,0.5721315721844985
KT대방빌딩,192545451.0,339621737.0,48.0,4011363.5625,7075452.854166667,0.5669408934210828
공덕래미안3차아파트,1271707111.0,2245064444.0,96.0,13246949.072916666,23386087.958333332,0.5664457046650372
논현목련공원,130108286.0,229812233.0,264.0,492834.4166666667,870500.8825757576,0.5661503928731244
경복고등학교,1040006425.0,1841868815.0,294.0,3537436.819727891,6264859.914965986,0.5646473931966757
방현초등학교(방배119안전센터),1392688530.0,2477453215.0,354.0,3934148.3898305083,6998455.40960452,0.5621452391382494
마천1치안센터,263000205.0,469905655.0,264.0,996212.8977272727,1779945.6628787878,0.559687252540087
평창동동측,463437270.0,828713251.0,276.0,1679120.543478261,3002584.242753623,0.5592251233352127
삼성전자서울R&D(서울우면초등학교),1482715537.0,2660717053.0,258.0,5746959.445736434,10312856.794573644,0.5572616356663009
원남동사거리,3508178797.0,6313357868.0,1134.0,3093632.0961199296,5567334.980599647,0.5556755803091123
서울산업정보학교(서울삼성초등학교),22941418.0,41533898.0,72.0,318630.80555555556,576859.6944444445,0.5523540795520805
을지로2가,8263422648.0,15004378934.0,1056.0,7825210.840909091,14208692.172348484,0.5507340679909811
신중초등학교,652859417.0,1189554532.0,372.0,1754998.432795699,3197727.2365591396,0.5488268082189948
양목초등학교,243793474.0,444660419.0,264.0,923460.1287878788,1684319.768939394,0.5482688892082387
충정로역,6281844411.0,11469344855.0,1152.0,5452989.940104167,9956028.519965278,0.5477073442657419
양원초등학교,556770028.0,1018722055.0,240.0,2319875.1166666667,4244675.229166667,0.5465377187696207
증산종합시장,927398633.0,1697996548.0,336.0,2760114.9791666665,5053561.154761905,0.5461722723125347
구로디지털단지,75433920254.0,138198836620.0,8784.0,8587650.302140255,15733018.740892531,0.5458361452160247
경찰병원역 3번,373142939.0,684699317.0,354.0,1054076.0988700564,1934178.8615819209,0.5449734353977748
연희세브란스병원,2587301058.0,4778269717.0,546.0,4738646.626373626,8751409.738095239,0.5414723762442646
시청역_1번,23789964084.0,43968433862.0,1590.0,14962241.562264152,27653103.057861634,0.5410691715485603
세종대왕기념관교차로,382729926.0,712629819.0,102.0,3752254.1764705884,6986566.852941177,0.5370669536914228
서울고교교차로,1536391724.0,2876938237.0,486.0,3161299.8436213993,5919626.002057613,0.5340370899314514
강서구다솔마을,4369028978.0,8185486905.0,768.0,5688839.815104167,10658186.07421875,0.5337530960230643
DMC(디지털미디어시티),47342779430.0,89432520497.0,7122.0,6647399.52681831,12557219.95183937,0.529368725905339
거여초등학교,16670805.0,31588961.0,72.0,231538.95833333334,438735.56944444444,0.5277414790565603
미근동,7583981354.0,14421250293.0,1464.0,5180315.132513661,9850580.801229509,0.5258893091732292
퇴계로5가,2979824191.0,5672147638.0,378.0,7883132.780423281,15005681.582010582,0.5253431999965865
우면주공아파트,2529256851.0,4825347808.0,816.0,3099579.474264706,5913416.431372549,0.5241605272073271
이경시장,758940802.0,1476074443.0,168.0,4517504.773809524,8786157.398809524,0.5141616031624497
망우3동주민센터,912986432.0,1777816599.0,216.0,4226789.037037037,8230632.402777778,0.5135436537793289
서울역,65015926106.0,127031319406.0,5676.0,11454532.43587033,22380429.77554616,0.5118102087738304
강서새말어린이공원,94449293.0,184609686.0,96.0,983846.8020833334,1923017.5625,0.5116161293942074
성원어린이공원,1956711627.0,3837925566.0,732.0,2673103.3155737706,5243067.713114754,0.5098357415616434
르네상스호텔사거리,20540430400.0,40342966276.0,2772.0,7409967.676767677,14553739.637806637,0.5091452685822829
서울대병원,2309402494.0,4542400144.0,270.0,8553342.57037037,16823704.237037037,0.5084101842173595
성동세무서,2001300601.0,3948462128.0,540.0,3706112.224074074,7311966.903703704,0.5068557165099901
Sh수협은행 오금동금융센터(아랫말어린이공원),543212562.0,1079729917.0,180.0,3017847.566666667,5998499.538888888,0.5031004082106952
