commercial_area,night_sales,total_shops,night_per_shop,total_sales,night_index
장안현대홈타운1차아파트,2368339099.0,792.0,2990327.14520202,6912575602.0,0.3426131206890199
장훈고등학교,2129499157.0,420.0,5070236.088095238,6224420029.0,0.3421200926477515
광흥창역 6번,72990273.0,144.0,506876.8958333333,213681292.0,0.3415847607286089
영등포시장역 1번,1699185704.0,684.0,2484189.625730994,4974485951.0,0.3415801593847943
상암동상점가,26471954715.0,7806.0,3391231.7083013067,77526038787.0,0.34145888438503536
중랑역 2번,812125655.0,294.0,2762332.1598639456,2388554316.0,0.3400071958003571
남영동 먹자골목,32212713281.0,3690.0,8729732.596476965,94776584029.0,0.33988050541200626
마포역 4번,614082116.0,366.0,1677819.9890710383,1807432666.0,0.3397537997136099
태릉시장 특화거리,2509766354.0,1398.0,1795254.902718169,7389524040.0,0.3396384314354298
가산동주민센터,4826574876.0,1170.0,4125277.671794872,14249050331.0,0.33872958294626715
강서고등학교,617310993.0,846.0,729682.0248226951,1830235295.0,0.33728504454395847
"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",292347000.0,240.0,1218112.5,867667967.0,0.336934185793216
관악구신사동주민센터,4583023017.0,2634.0,1739947.9943052393,13607647116.0,0.3367976093097857
인현시장,7168898267.0,1926.0,3722169.4013499483,21289578573.0,0.336732746607384
남구로역 2번,3656928170.0,3138.0,1165369.0790312302,10884922075.0,0.3359627331094146
방학역 2번,4547908766.0,1800.0,2526615.981111111,13574884362.0,0.3350237574568888
보라매동주민센터(당곡고등학교),162563026.0,408.0,398438.78921568627,485857547.0,0.33458989574983383
신논현역,72273672930.0,13224.0,5465341.26814882,216032408898.0,0.33455014133608124
서원동주민센터(신관중학교),564056072.0,270.0,2089096.562962963,1688393712.0,0.33407851971436386
대림역,19448353845.0,5682.0,3422800.747096093,58267115671.0,0.3337792444509073
합정역 8번,11433324066.0,4482.0,2550942.451137885,34270340954.0,0.3336215441027153
봉은사역 4번,1105448804.0,204.0,5418866.68627451,3316032143.0,0.33336492420121877
수족관거리,118213147.0,150.0,788087.6466666666,355456461.0,0.3325671635491807
오류지구대,623728628.0,216.0,2887632.537037037,1876566715.0,0.33237753979879153
꿈의숲 장곡 골목형상점가,1486003557.0,324.0,4586430.731481481,4471868605.0,0.33230036216594067
삼양사거리역 2번,347903104.0,384.0,905997.6666666666,1047606896.0,0.3320931785848038
성수119안전센터,2607672500.0,1776.0,1468284.0653153153,7879861645.0,0.3309287164521021
문래예술촌(문래창작촌),21754950089.0,7638.0,2848252.1719036396,65846513672.0,0.3303887916886158
개웅초등학교(개웅중학교),457566556.0,498.0,918808.3453815262,1385462660.0,0.33026264020713486
방이동고분군(방산고등학교),1421694711.0,702.0,2025206.141025641,4313187056.0,0.32961582526830246
