commercial_area,week,total_sales
강남골목시장,SUNDAY,355663866.0
"강남구청(청담역_8번, 강남세무서)",MONDAY,3279299750.0
"강남구청(청담역_8번, 강남세무서)",TUESDAY,3783735805.0
"강남구청(청담역_8번, 강남세무서)",WEDNESDAY,3416934532.0
"강남구청(청담역_8번, 강남세무서)",THURSDAY,3486556669.0
"강남구청(청담역_8번, 강남세무서)",FRIDAY,3715448057.0
"강남구청(청담역_8번, 강남세무서)",SATURDAY,2449460164.0
"강남구청(청담역_8번, 강남세무서)",SUNDAY,1854406386.0
강남구청역,MONDAY,13847308534.0
강남구청역,TUESDAY,15637186174.0
강남구청역,WEDNESDAY,15593097757.0
강남구청역,THURSDAY,16571772450.0
강남구청역,FRIDAY,16709118537.0
강남구청역,SATURDAY,9274486154.0
강남구청역,SUNDAY,5311351268.0
강남구청역 2번,MONDAY,602922018.0
강남구청역 2번,TUESDAY,713604215.0
강남구청역 2번,WEDNESDAY,652116039.0
강남구청역 2번,THURSDAY,663273046.0
강남구청역 2번,FRIDAY,663704981.0
강남구청역 2번,SATURDAY,290827359.0
강남구청역 2번,SUNDAY,188898386.0
강남구청역 4번,MONDAY,30280249.0
강남구청역 4번,TUESDAY,77822987.0
강남구청역 4번,WEDNESDAY,37273668.0
강남구청역 4번,THURSDAY,52764358.0
강남구청역 4번,FRIDAY,86951808.0
강남구청역 4번,SATURDAY,56182912.0
강남구청역 4번,SUNDAY,0.0
강남세브란스병원미래의학연구센터,MONDAY,85799158.0
강남세브란스병원미래의학연구센터,TUESDAY,94025161.0
강남세브란스병원미래의학연구센터,WEDNESDAY,101636015.0
강남세브란스병원미래의학연구센터,THURSDAY,106175975.0
강남세브란스병원미래의학연구센터,FRIDAY,116927607.0
강남세브란스병원미래의학연구센터,SATURDAY,67367910.0
강남세브란스병원미래의학연구센터,SUNDAY,33569875.0
강남시장(강남구 강남시장),MONDAY,1103864874.0
강남시장(강남구 강남시장),TUESDAY,1272521341.0
강남시장(강남구 강남시장),WEDNESDAY,1211021829.0
강남시장(강남구 강남시장),THURSDAY,1302667052.0
강남시장(강남구 강남시장),FRIDAY,1568595365.0
강남시장(강남구 강남시장),SATURDAY,1208437566.0
강남시장(강남구 강남시장),SUNDAY,731541501.0
강남시장(동작구 강남시장),MONDAY,131830967.0
강남시장(동작구 강남시장),TUESDAY,162927512.0
강남시장(동작구 강남시장),WEDNESDAY,162898886.0
