commercial_area,sex,total_sales
개나리아파트,FEMALE,5758818023.0
개롱역,MALE,16113807986.0
개롱역,FEMALE,9844727619.0
개봉1동주민센터,MALE,6245765227.0
개봉1동주민센터,FEMALE,3508384643.0
개봉3동주민센터,MALE,169359595.0
개봉3동주민센터,FEMALE,113361491.0
개봉동 현대아파트,MALE,13463767839.0
개봉동 현대아파트,FEMALE,8538168122.0
개봉역,MALE,6350556972.0
개봉역,FEMALE,5232880961.0
개봉중앙시장,MALE,5647110568.0
개봉중앙시장,FEMALE,3756714093.0
개봉중학교,MALE,3150300833.0
개봉중학교,FEMALE,1703623585.0
개봉초등학교,MALE,868131819.0
개봉초등학교,FEMALE,403075980.0
개웅초등학교(개웅중학교),MALE,819228797.0
개웅초등학교(개웅중학교),FEMALE,444321346.0
개포고등학교,MALE,6220709315.0
개포고등학교,FEMALE,3702396351.0
개포지구대옆,MALE,351228847.0
개포지구대옆,FEMALE,168916267.0
개화산역 1번,MALE,3764973990.0
개화산역 1번,FEMALE,1383602439.0
거여역,MALE,15871267998.0
거여역,FEMALE,10509887704.0
거여역 1번(거여공원),MALE,4636678065.0
거여역 1번(거여공원),FEMALE,2823649103.0
거여초등학교,MALE,7988082.0
거여초등학교,FEMALE,17511768.0
건대입구역 1번,MALE,5862496703.0
건대입구역 1번,FEMALE,3983311918.0
건대입구역 6번,MALE,10979247917.0
건대입구역 6번,FEMALE,7018953848.0
건대입구역(건대),MALE,89334388130.0
건대입구역(건대),FEMALE,87943065076.0
경기고교사거리(경기고교앞사거리),MALE,3427683028.0
경기고교사거리(경기고교앞사거리),FEMALE,2006788989.0
경기대학교,MALE,35212649.0
경기대학교,FEMALE,30553662.0
경동고등학교,MALE,1970894780.0
경동고등학교,FEMALE,1410757482.0
경동광성상가(경동시장),MALE,36160080.0
경동광성상가(경동시장),FEMALE,19285536.0
경동시장,MALE,1556174943.0
경동시장,FEMALE,1312496664.0
경리단길남측,MALE,10238538370.0
경리단길남측,FEMALE,7025386166.0
경리단길북측,MALE,10629251534.0
경리단길북측,FEMALE,8981967351.0
경문고등학교(동작동성당),MALE,138109638.0
경문고등학교(동작동성당),FEMALE,69512376.0
경복고등학교,MALE,786054739.0
경복고등학교,FEMALE,568437674.0
경복아파트교차로,MALE,5991137661.0
경복아파트교차로,FEMALE,3443061654.0
경성고등학교,MALE,7759457851.0
경성고등학교,FEMALE,5968017796.0
경수초등학교,MALE,7829492732.0
경수초등학교,FEMALE,9915034556.0
경신고등학교,MALE,441029146.0
경신고등학교,FEMALE,408155731.0
경의선책거리,MALE,7613094010.0
경의선책거리,FEMALE,11080755049.0
경의중앙 신촌역,MALE,2591611236.0
경의중앙 신촌역,FEMALE,3416764870.0
경찰병원역,MALE,23840371702.0
경찰병원역,FEMALE,12536436917.0
경찰병원역 3번,MALE,336213270.0
경찰병원역 3번,FEMALE,221146626.0
경찰병원역 4번(건너말공원),MALE,774261396.0
경찰병원역 4번(건너말공원),FEMALE,396950557.0
경찰청앞교차로,MALE,3598730529.0
경찰청앞교차로,FEMALE,3404705960.0
경창시장,MALE,1827488639.0
경창시장,FEMALE,1097392183.0
경춘선숲길 우측,MALE,12845012041.0
경춘선숲길 우측,FEMALE,9033987758.0
경향신문사,MALE,5172807079.0
경향신문사,FEMALE,4711385751.0
경희대삼거리,MALE,7951860630.0
경희대삼거리,FEMALE,6004364172.0
경희대학교(경희대),MALE,25691739071.0
경희대학교(경희대),FEMALE,25173527454.0
경희대후문,MALE,1745123639.0
경희대후문,FEMALE,2455822087.0
계상초등학교,MALE,2729709545.0
계상초등학교,FEMALE,1462016158.0
고대앞사거리,MALE,1652291104.0
고대앞사거리,FEMALE,996233073.0
고덕 골목형상점가,MALE,4524387460.0
고덕 골목형상점가,FEMALE,3648909012.0
고덕동성당,MALE,5242890479.0
고덕동성당,FEMALE,2982138494.0
고덕역,MALE,32699567839.0
고덕역,FEMALE,35250522564.0
고덕중학교(고덕2동주민센터),MALE,2345288876.0
고덕중학교(고덕2동주민센터),FEMALE,1016752523.0
고려대역 4번,MALE,744359418.0
고려대역 4번,FEMALE,269072578.0
고려대역 6번,MALE,5720256685.0
고려대역 6번,FEMALE,4487487553.0
고분다리전통시장,MALE,1315544738.0
고분다리전통시장,FEMALE,736879042.0
고속터미널(고속터미널역),MALE,14443602705.0
고속터미널(고속터미널역),FEMALE,13028507361.0
고척골목시장상점가(그라운드 고척),MALE,1473094813.0
고척골목시장상점가(그라운드 고척),FEMALE,1002990089.0
고척근린시장,MALE,3011340332.0
고척근린시장,FEMALE,2667271100.0
고척동성당,MALE,1660980737.0
고척동성당,FEMALE,1458755942.0
고척중학교,MALE,905204940.0
고척중학교,FEMALE,730546845.0
고척초등학교,MALE,187530738.0
고척초등학교,FEMALE,61038503.0
곰달래도서관,MALE,560890150.0
곰달래도서관,FEMALE,290583169.0
공군호텔,MALE,10305141631.0
공군호텔,FEMALE,5853500067.0
공덕동주민센터,MALE,621731753.0
공덕동주민센터,FEMALE,255869147.0
공덕래미안3차아파트,MALE,692832603.0
공덕래미안3차아파트,FEMALE,428333695.0
공덕시장,MALE,6298492465.0
공덕시장,FEMALE,2275573234.0
공덕역(공덕오거리),MALE,21503328295.0
공덕역(공덕오거리),FEMALE,16286529606.0
공릉동 국수거리,MALE,6074688195.0
공릉동 국수거리,FEMALE,3256179761.0
공릉동 도깨비시장,MALE,2561783945.0
공릉동 도깨비시장,FEMALE,2666042908.0
공릉역,MALE,22467973861.0
공릉역,FEMALE,15755052980.0
공릉역 2번,MALE,840603428.0
공릉역 2번,FEMALE,686827709.0
공항고등학교,MALE,997877766.0
공항고등학교,FEMALE,370300650.0
공항시장,MALE,1800764610.0
공항시장,FEMALE,528469289.0
공항시장역 1번,MALE,5772375705.0
공항시장역 1번,FEMALE,2139688771.0
공항시장역 3번,MALE,1186422218.0
공항시장역 3번,FEMALE,760469756.0
관성묘,MALE,666023644.0
관성묘,FEMALE,291563643.0
관악구 중앙길,MALE,13357834739.0
관악구 중앙길,FEMALE,8013005482.0
관악구신사동주민센터,MALE,8528410435.0
관악구신사동주민센터,FEMALE,4472335693.0
관악소방서(문영여고),MALE,1215493284.0
관악소방서(문영여고),FEMALE,533762363.0
관악신사시장,MALE,2210742262.0
관악신사시장,FEMALE,1561509058.0
관악우성아파트,MALE,925380597.0
관악우성아파트,FEMALE,589021218.0
관악종합시장(신원시장),MALE,108499877.0
관악종합시장(신원시장),FEMALE,89894496.0
관악중부시장,MALE,2949381566.0
관악중부시장,FEMALE,2668047798.0
관악해태어린이공원,MALE,975246442.0
관악해태어린이공원,FEMALE,561650664.0
광나루역 1번,MALE,8158803276.0
광나루역 1번,FEMALE,6331171600.0
광산사거리,MALE,2767722838.0
광산사거리,FEMALE,1395792502.0
광운대역 1번,MALE,4100655377.0
광운대역 1번,FEMALE,2941740963.0
광운대학교 남단,MALE,579362061.0
광운대학교 남단,FEMALE,414241940.0
광장시장(광장전통시장),MALE,18253047453.0
광장시장(광장전통시장),FEMALE,14631176189.0
광진경찰서,MALE,246148248.0
광진경찰서,FEMALE,199450049.0
광진구청,MALE,1618600140.0
광진구청,FEMALE,858204859.0
광진정말공원,MALE,4956950279.0
광진정말공원,FEMALE,2847920551.0
광진정보도서관,MALE,4305072870.0
광진정보도서관,FEMALE,2702859231.0
광진초등학교,MALE,437571175.0
