commercial_area,age,total_sales
KT구로지사,FIFTIES,379170363.0
KT구로지사,SIXTIES_PLUS,317559364.0
KT금천빌딩(금천구시설관리공단),TEENS,46835300.0
KT금천빌딩(금천구시설관리공단),TWENTIES,205360076.0
KT금천빌딩(금천구시설관리공단),THIRTIES,676254117.0
KT금천빌딩(금천구시설관리공단),FORTIES,574501150.0
KT금천빌딩(금천구시설관리공단),FIFTIES,549936647.0
KT금천빌딩(금천구시설관리공단),SIXTIES_PLUS,334933458.0
KT대방빌딩,TEENS,1695757.0
KT대방빌딩,TWENTIES,20343407.0
KT대방빌딩,THIRTIES,46578799.0
KT대방빌딩,FORTIES,88088041.0
KT대방빌딩,FIFTIES,76250008.0
KT대방빌딩,SIXTIES_PLUS,50813248.0
KT월곡지사,TEENS,2542148.0
KT월곡지사,TWENTIES,97997832.0
KT월곡지사,THIRTIES,442722570.0
KT월곡지사,FORTIES,724102073.0
KT월곡지사,FIFTIES,937255581.0
KT월곡지사,SIXTIES_PLUS,896166884.0
NH농협은행 보광동지점,TEENS,1830960.0
NH농협은행 보광동지점,TWENTIES,53259094.0
NH농협은행 보광동지점,THIRTIES,131839934.0
NH농협은행 보광동지점,FORTIES,146084509.0
NH농협은행 보광동지점,FIFTIES,207012645.0
NH농협은행 보광동지점,SIXTIES_PLUS,179723346.0
NH농협은행 상도동지점,TEENS,37014776.0
NH농협은행 상도동지점,TWENTIES,843233209.0
NH농협은행 상도동지점,THIRTIES,1903497585.0
NH농협은행 상도동지점,FORTIES,2311619647.0
NH농협은행 상도동지점,FIFTIES,2795336466.0
NH농협은행 상도동지점,SIXTIES_PLUS,3213539207.0
Sh수협은행 오금동금융센터(아랫말어린이공원),TEENS,420874.0
Sh수협은행 오금동금융센터(아랫말어린이공원),TWENTIES,59133639.0
Sh수협은행 오금동금융센터(아랫말어린이공원),THIRTIES,175846638.0
Sh수협은행 오금동금융센터(아랫말어린이공원),FORTIES,262555613.0
Sh수협은행 오금동금융센터(아랫말어린이공원),FIFTIES,250077436.0
Sh수협은행 오금동금융센터(아랫말어린이공원),SIXTIES_PLUS,206488287.0
가락시장,TEENS,48566974.0
가락시장,TWENTIES,4518263286.0
가락시장,THIRTIES,12124746671.0
가락시장,FORTIES,9626213788.0
가락시장,FIFTIES,9506283118.0
가락시장,SIXTIES_PLUS,11761607565.0
가락시장역,TEENS,183347550.0
가락시장역,TWENTIES,5195675972.0
가락시장역,THIRTIES,13397986822.0
가락시장역,FORTIES,12112284052.0
가락시장역,FIFTIES,10814746605.0
가락시장역,SIXTIES_PLUS,9557806237.0
가로수길,TEENS,1113554639.0
가로수길,TWENTIES,33425877761.0
가로수길,THIRTIES,39700262249.0
가로수길,FORTIES,17067375128.0
가로수길,FIFTIES,12030769536.0
가로수길,SIXTIES_PLUS,5652096381.0
가리봉시장,TEENS,0.0
가리봉시장,TWENTIES,14725132.0
가리봉시장,THIRTIES,87058885.0
가리봉시장,FORTIES,107488997.0
가리봉시장,FIFTIES,173081772.0
가리봉시장,SIXTIES_PLUS,120920971.0
가리봉파출소,TEENS,4611009.0
가리봉파출소,TWENTIES,226314067.0
가리봉파출소,THIRTIES,418114906.0
가리봉파출소,FORTIES,198360058.0
가리봉파출소,FIFTIES,211642881.0
가리봉파출소,SIXTIES_PLUS,193114058.0
가산동우체국,TEENS,17559899.0
가산동우체국,TWENTIES,1855848566.0
가산동우체국,THIRTIES,3210818075.0
가산동우체국,FORTIES,1834420195.0
가산동우체국,FIFTIES,1386828944.0
가산동우체국,SIXTIES_PLUS,939488805.0
가산동주민센터,TEENS,17920841.0
가산동주민센터,TWENTIES,2272804010.0
가산동주민센터,THIRTIES,3921210444.0
가산동주민센터,FORTIES,2362230861.0
가산동주민센터,FIFTIES,1837433945.0
가산동주민센터,SIXTIES_PLUS,1112232371.0
가산디지털단지,TEENS,312407358.0
가산디지털단지,TWENTIES,35253830863.0
가산디지털단지,THIRTIES,68830880408.0
가산디지털단지,FORTIES,47987115434.0
가산디지털단지,FIFTIES,33206846566.0
가산디지털단지,SIXTIES_PLUS,13878244338.0
가산디지털단지역 1번 출입구,TEENS,3225597.0
가산디지털단지역 1번 출입구,TWENTIES,807094610.0
가산디지털단지역 1번 출입구,THIRTIES,1660309168.0
가산디지털단지역 1번 출입구,FORTIES,1128723610.0
가산디지털단지역 1번 출입구,FIFTIES,741187827.0
가산디지털단지역 1번 출입구,SIXTIES_PLUS,355346792.0
가산초등학교(세일중학교),TEENS,17139469.0
가산초등학교(세일중학교),TWENTIES,440445553.0
가산초등학교(세일중학교),THIRTIES,1063504365.0
가산초등학교(세일중학교),FORTIES,1012670116.0
가산초등학교(세일중학교),FIFTIES,1365857134.0
가산초등학교(세일중학교),SIXTIES_PLUS,1498335078.0
가양역 10번,TEENS,95126361.0
가양역 10번,TWENTIES,1090895893.0
가양역 10번,THIRTIES,2000342021.0
가양역 10번,FORTIES,1167558196.0
가양역 10번,FIFTIES,963595597.0
가양역 10번,SIXTIES_PLUS,843367373.0
가오리역 1번,TEENS,13040162.0
가오리역 1번,TWENTIES,181806565.0
가오리역 1번,THIRTIES,390389896.0
가오리역 1번,FORTIES,503845353.0
가오리역 1번,FIFTIES,560476046.0
가오리역 1번,SIXTIES_PLUS,514123267.0
가오리역 2번,TEENS,11314648.0
가오리역 2번,TWENTIES,147526702.0
가오리역 2번,THIRTIES,362327278.0
가오리역 2번,FORTIES,534067879.0
가오리역 2번,FIFTIES,852695194.0
가오리역 2번,SIXTIES_PLUS,916336779.0
가인초등학교,TEENS,5269769.0
가인초등학교,TWENTIES,124115424.0
가인초등학교,THIRTIES,641371375.0
가인초등학교,FORTIES,616654428.0
가인초등학교,FIFTIES,627857337.0
가인초등학교,SIXTIES_PLUS,440932537.0
가좌역 2번,TEENS,7665271.0
가좌역 2번,TWENTIES,303938505.0
가좌역 2번,THIRTIES,625127844.0
가좌역 2번,FORTIES,522911852.0
가좌역 2번,FIFTIES,672594717.0
가좌역 2번,SIXTIES_PLUS,442806138.0
가좌역 3번,TEENS,77437.0
가좌역 3번,TWENTIES,38127200.0
가좌역 3번,THIRTIES,163909501.0
가좌역 3번,FORTIES,185886187.0
가좌역 3번,FIFTIES,302312097.0
가좌역 3번,SIXTIES_PLUS,189689765.0
간데메공원,TEENS,9901932.0
간데메공원,TWENTIES,393891055.0
간데메공원,THIRTIES,993171859.0
간데메공원,FORTIES,1152566079.0
간데메공원,FIFTIES,1059069471.0
간데메공원,SIXTIES_PLUS,579709244.0
갈산공원,TEENS,183473.0
갈산공원,TWENTIES,40795096.0
갈산공원,THIRTIES,183954481.0
갈산공원,FORTIES,433266081.0
갈산공원,FIFTIES,577482376.0
갈산공원,SIXTIES_PLUS,1944524891.0
갈현건영아파트,TEENS,999618.0
갈현건영아파트,TWENTIES,9527990.0
갈현건영아파트,THIRTIES,23215065.0
갈현건영아파트,FORTIES,19695171.0
갈현건영아파트,FIFTIES,55581714.0
갈현건영아파트,SIXTIES_PLUS,41823999.0
강남 마이스 관광특구,TEENS,973185803.0
강남 마이스 관광특구,TWENTIES,21104525282.0
강남 마이스 관광특구,THIRTIES,34977013496.0
강남 마이스 관광특구,FORTIES,24397487834.0
강남 마이스 관광특구,FIFTIES,15662851330.0
강남 마이스 관광특구,SIXTIES_PLUS,9538828783.0
강남개포시장,TEENS,258335369.0
강남개포시장,TWENTIES,1841485669.0
강남개포시장,THIRTIES,3617105372.0
강남개포시장,FORTIES,6514934580.0
강남개포시장,FIFTIES,6611263277.0
강남개포시장,SIXTIES_PLUS,4542781618.0
강남골목시장,TEENS,871154.0
강남골목시장,TWENTIES,203813343.0
강남골목시장,THIRTIES,749967549.0
강남골목시장,FORTIES,557424097.0
강남골목시장,FIFTIES,682095156.0
강남골목시장,SIXTIES_PLUS,852997959.0
"강남구청(청담역_8번, 강남세무서)",TEENS,33039370.0
"강남구청(청담역_8번, 강남세무서)",TWENTIES,1230998222.0
"강남구청(청담역_8번, 강남세무서)",THIRTIES,3235583235.0
"강남구청(청담역_8번, 강남세무서)",FORTIES,4032093210.0
"강남구청(청담역_8번, 강남세무서)",FIFTIES,3607037289.0
"강남구청(청담역_8번, 강남세무서)",SIXTIES_PLUS,3123464198.0
강남구청역,TEENS,310865802.0
강남구청역,TWENTIES,11046410085.0
강남구청역,THIRTIES,22004934552.0
강남구청역,FORTIES,14938956278.0
강남구청역,FIFTIES,10888611045.0
강남구청역,SIXTIES_PLUS,6599606953.0
강남구청역 2번,TEENS,6154181.0
강남구청역 2번,TWENTIES,310554784.0
강남구청역 2번,THIRTIES,805008006.0
강남구청역 2번,FORTIES,714469434.0
강남구청역 2번,FIFTIES,450991271.0
강남구청역 2번,SIXTIES_PLUS,268177168.0
강남구청역 4번,TEENS,0.0
강남구청역 4번,TWENTIES,17042550.0
강남구청역 4번,THIRTIES,61991615.0
강남구청역 4번,FORTIES,69456152.0
강남구청역 4번,FIFTIES,54521641.0
강남구청역 4번,SIXTIES_PLUS,35411436.0
강남세브란스병원미래의학연구센터,TEENS,2694177.0
강남세브란스병원미래의학연구센터,TWENTIES,72733152.0
강남세브란스병원미래의학연구센터,THIRTIES,163537889.0
강남세브란스병원미래의학연구센터,FORTIES,147418983.0
강남세브란스병원미래의학연구센터,FIFTIES,87859274.0
강남세브란스병원미래의학연구센터,SIXTIES_PLUS,34949704.0
강남시장(강남구 강남시장),TEENS,40251435.0
강남시장(강남구 강남시장),TWENTIES,1584775894.0
강남시장(강남구 강남시장),THIRTIES,2184522783.0
