commercial_area,dinner_sales,total_sales,total_shops,dinner_per_shop,total_per_shop,dinner_index
경동고등학교,1987732194.0,3694095409.0,1092.0,1820267.576923077,3382871.2536630034,0.5380836101734806
고덕 골목형상점가,4685457127.0,8720652177.0,330.0,14198354.93030303,26426218.71818182,0.5372828811310129
천호태영아파트,939524491.0,1754685364.0,96.0,9786713.447916666,18277972.541666668,0.5354375834413125
백련시장,256948222.0,479931897.0,144.0,1784362.6527777778,3332860.3958333335,0.535384756891872
방화초등학교,433459947.0,812442903.0,24.0,18060831.125,33851787.625,0.5335266581804334
독산동 우시장,6262780158.0,11773201344.0,672.0,9319613.330357144,17519644.85714286,0.5319521831835241
성동구립금호도서관,408866346.0,770964255.0,36.0,11357398.5,21415673.75,0.5303311318888578
천호지구대(천호동자전거거리),3429860946.0,6498050763.0,804.0,4265996.201492538,8082152.690298508,0.5278292015706741
염창무학아파트,1127102683.0,2136716948.0,72.0,15654203.930555556,29676624.277777776,0.5274927425717223
온수역 5번(온수산업단지),2136501860.0,4052268673.0,342.0,6247081.461988304,11848738.80994152,0.5272359836936211
사당5동주민센터,609196570.0,1157296440.0,192.0,3172898.8020833335,6027585.625,0.5263963051679309
신림현대아파트,673139402.0,1283763694.0,102.0,6599405.901960785,12585918.56862745,0.5243483712353685
석관시장,339499656.0,647532267.0,18.0,18861092.0,35974014.833333336,0.5242976656173336
대방역 4번,615695766.0,1175269444.0,84.0,7329711.5,13991302.904761905,0.5238762644117547
사가정역 4번,1374365928.0,2624199949.0,684.0,2009306.9122807018,3836549.6330409357,0.5237275949661259
영등포시장기계공구상가,857725293.0,1638049677.0,150.0,5718168.62,10920331.18,0.5236259345753652
묵1동도깨비시장,4144934611.0,7924913115.0,708.0,5854427.416666667,11193380.105932204,0.523025874334775
베르사이유1아파트,684522509.0,1309118523.0,114.0,6004583.412280702,11483495.815789474,0.5228881090394594
공덕동주민센터,594953720.0,1138506113.0,732.0,812778.3060109289,1555336.219945355,0.5225740232806286
