commercial_area,weekend_sales,weekday_sales,total_shops,weekend_per_shop,weekday_per_shop,weekend_index
북한산보국문역 1번,426940362.0,654771982.0,108.0,3953151.5,6062703.537037037,0.6520443356417165
도곡초등학교,3121447282.0,4788287049.0,816.0,3825303.0416666665,5867998.834558823,0.6518922633620915
신길2동우편취급국,3065593605.0,4703242542.0,702.0,4366942.457264957,6699775.700854701,0.6518042770757025
청량리전통시장,10215018864.0,15687520293.0,2400.0,4256257.86,6536466.78875,0.6511557386515758
전농1동주민센터(전농시장),110163688.0,169947405.0,120.0,918030.7333333333,1416228.375,0.6482222426403039
개봉3동주민센터,122488667.0,188980997.0,228.0,537230.995614035,828864.0219298246,0.6481533537469907
한강진역 3번,5710598447.0,8814318274.0,2442.0,2338492.4025389026,3609466.9426699425,0.6478774953980065
답십리초등학교,3061596786.0,4730003613.0,1158.0,2643865.96373057,4084631.7901554406,0.6472715533631876
연희파출소,2732469853.0,4235182807.0,714.0,3826988.589635854,5931628.581232493,0.6451834495747659
역촌역 2번,134096253.0,208407623.0,192.0,698417.984375,1085456.3697916667,0.6434325725215915
메가박스 상봉,7141856607.0,11106164161.0,2490.0,2868215.504819277,4460306.891967871,0.6430533984072632
구로디지털단지역 4번,4330158282.0,6739688901.0,2928.0,1478879.1946721312,2301806.318647541,0.6424863737193439
관악종합시장(신원시장),79374925.0,123714662.0,96.0,826822.1354166666,1288694.3958333333,0.6415967494620808
옥수터널,98650357.0,153893506.0,66.0,1494702.378787879,2331719.787878788,0.6410300185116323
동의초등학교,221123507.0,345487608.0,192.0,1151684.9322916667,1799414.625,0.6400331064840972
서원동상점가,32771031783.0,51211356830.0,5406.0,6061974.062708102,9473058.977062523,0.6399172724867638
동대문역 3번,976302987.0,1527066052.0,360.0,2711952.7416666667,4241850.144444444,0.6393325198483294
대림역,22720507421.0,35546608250.0,5682.0,3998681.3482928546,6256002.859908483,0.6391751151391497
전농119안전센터,384934310.0,604475069.0,162.0,2376137.716049383,3731327.5864197533,0.6368075868485488
송파나루역,3437768059.0,5398481141.0,966.0,3558766.106625259,5588489.793995859,0.6368028282790662
망리단길,14733681856.0,23152378935.0,9726.0,1514875.782027555,2380462.567859346,0.6363787452410233
이북5도청사,791215301.0,1244291970.0,354.0,2235071.4717514124,3514949.0677966103,0.6358759198614775
서울숲카페거리,45870050.0,72195971.0,900.0,50966.72222222222,80217.74555555555,0.6353547069821943
선사초등학교,354806503.0,559214407.0,126.0,2815924.626984127,4438209.579365079,0.6344731082724054
청량리종합시장,1207251908.0,1906363629.0,324.0,3726086.135802469,5883838.361111111,0.6332747276726397
대방역 3번,8183988601.0,12927317633.0,402.0,20358180.59950249,32157506.549751244,0.6330770878645742
리움미술관,2537517842.0,4014686265.0,534.0,4751906.0711610485,7518139.073033708,0.6320588146879765
중곡1동주민센터,228955523.0,362489638.0,120.0,1907962.6916666667,3020746.9833333334,0.6316194974930566
청량리농수산물시장,864966148.0,1372960942.0,576.0,1501677.3402777778,2383612.746527778,0.6300005495713511
청계산입구역 2번(내곡동주민센터),2172912947.0,3454389909.0,252.0,8622670.424603175,13707896.464285715,0.6290294391315627
은곡마을(은곡마을공원),1252978526.0,1993778431.0,192.0,6525929.822916667,10384262.661458334,0.6284442175310101
동묘앞역(동묘),5956829599.0,9507529439.0,1110.0,5366513.152252252,8565341.836936938,0.6265381177327742
회기역 1번,356404669.0,571802396.0,180.0,1980025.9388888888,3176679.9777777777,0.6233004119835832
인헌고등학교(인헌중학교),809100785.0,1298329661.0,666.0,1214866.0435435434,1949443.9354354355,0.6231859359793213
서교시장,679556329.0,1092340594.0,96.0,7078711.760416667,11378547.854166666,0.6221102948408782
4.19민주묘지역 2번,4155721637.0,6710818738.0,912.0,4556712.32127193,7358353.879385965,0.6192570235086567
응암오거리상점가,8508267624.0,13792548098.0,2388.0,3562926.1407035175,5775773.910385259,0.6168742398827486
우이골목시장(우이시장),2457407819.0,3991683974.0,546.0,4500746.921245421,7310776.50915751,0.6156318573831066
신림초등학교,75986250.0,123672259.0,72.0,1055364.5833333333,1717670.263888889,0.6144162855471087
경리단길북측,8479171328.0,13809115125.0,3114.0,2722919.501605652,4434526.37283237,0.6140271299968614
